#{"t_start": 1611595385.5484061, "env_id": "CartPole-v1"}
r,l,t
15.0,15,2.463757
30.0,30,2.60889
20.0,20,2.731431
18.0,18,2.748887
33.0,33,2.887053
17.0,17,3.006716
11.0,11,3.017707
11.0,11,3.028662
12.0,12,3.14656
18.0,18,3.164178
9.0,9,3.277819
14.0,14,3.291756
37.0,37,3.43271
24.0,24,3.559769
36.0,36,3.698567
23.0,23,3.825542
50.0,50,3.980317
155.0,155,4.656524
296.0,296,5.887234
500.0,500,9.822587
500.0,500,12.01984
500.0,500,14.173637
205.0,205,16.859291
500.0,500,18.959156
390.0,390,20.648087
500.0,500,24.675081
500.0,500,26.937987
