#{"t_start": 1611595385.5492094, "env_id": "CartPole-v1"}
r,l,t
57.0,57,2.619656
20.0,20,2.742308
15.0,15,2.758577
15.0,15,2.877491
13.0,13,2.890165
11.0,11,3.003994
11.0,11,3.01482
8.0,8,3.022859
12.0,12,3.140846
13.0,13,3.15348
13.0,13,3.166404
14.0,14,3.284934
15.0,15,3.299803
25.0,25,3.428931
17.0,17,3.549166
50.0,50,3.701762
68.0,68,3.978487
368.0,368,5.594684
29.0,29,5.726843
291.0,291,6.960721
500.0,500,10.806432
500.0,500,13.008357
500.0,500,16.997616
500.0,500,19.097599
327.0,327,20.507881
140.0,140,21.201962
500.0,500,25.118263
500.0,500,27.378982
