#{"t_start": 1611595385.5475965, "env_id": "CartPole-v1"}
r,l,t
26.0,26,2.477343
12.0,12,2.602937
12.0,12,2.614537
9.0,9,2.623245
17.0,17,2.742898
23.0,23,2.87128
41.0,41,3.014466
13.0,13,3.027465
22.0,22,3.155024
17.0,17,3.171978
13.0,13,3.289619
16.0,16,3.305303
91.0,91,3.706381
122.0,122,4.247278
82.0,82,4.640614
98.0,98,5.04695
155.0,155,5.723545
169.0,169,6.414929
500.0,500,10.252707
500.0,500,12.434685
500.0,500,14.737579
500.0,500,18.539656
500.0,500,20.771197
500.0,500,24.801702
500.0,500,26.953122
