#{"t_start": 1611595385.5435874, "env_id": "CartPole-v1"}
r,l,t
10.0,10,2.460771
12.0,12,2.476446
10.0,10,2.487019
17.0,17,2.617475
16.0,16,2.736062
24.0,24,2.761037
10.0,10,2.875159
40.0,40,3.017311
10.0,10,3.027322
14.0,14,3.14738
14.0,14,3.16103
23.0,23,3.288422
49.0,49,3.441358
25.0,25,3.569439
14.0,14,3.583292
30.0,30,3.716265
37.0,37,3.962501
65.0,65,4.237554
484.0,484,6.280087
500.0,500,10.116524
500.0,500,12.303092
500.0,500,14.595166
500.0,500,18.40371
441.0,441,20.35789
138.0,138,20.927826
500.0,500,24.961306
500.0,500,27.225523
