#{"t_start": 1611595385.5444117, "env_id": "CartPole-v1"}
r,l,t
10.0,10,2.460037
13.0,13,2.476642
21.0,21,2.611809
15.0,15,2.626333
15.0,15,2.744028
16.0,16,2.761312
53.0,53,3.020539
18.0,18,3.144521
18.0,18,3.162167
12.0,12,3.174081
13.0,13,3.291661
10.0,10,3.30149
11.0,11,3.417443
24.0,24,3.440596
19.0,19,3.562644
44.0,44,3.709462
33.0,33,3.846181
59.0,59,4.117129
89.0,89,4.516965
166.0,166,5.203783
182.0,182,6.008711
500.0,500,9.838579
500.0,500,12.035204
500.0,500,14.30469
500.0,500,18.120785
500.0,500,20.353011
500.0,500,24.379088
500.0,500,26.527084
