#{"t_start": 1611595385.545966, "env_id": "CartPole-v1"}
r,l,t
15.0,15,2.466123
11.0,11,2.4789
29.0,29,2.620897
34.0,34,2.758749
24.0,24,2.886546
12.0,12,2.898369
18.0,18,3.019058
9.0,9,3.028041
13.0,13,3.147037
11.0,11,3.157671
10.0,10,3.167577
14.0,14,3.286141
17.0,17,3.302952
12.0,12,3.419783
20.0,20,3.439107
39.0,39,3.58101
46.0,46,3.8339
26.0,26,3.965122
73.0,73,4.247822
60.0,60,4.515506
64.0,64,4.785361
134.0,134,5.33693
241.0,241,6.410724
500.0,500,10.248181
467.0,467,12.29596
500.0,500,14.471867
330.0,330,17.688653
500.0,500,19.804436
500.0,500,22.05633
500.0,500,26.08664
