#{"t_start": 1611595385.5467863, "env_id": "CartPole-v1"}
r,l,t
25.0,25,2.47708
10.0,10,2.600828
36.0,36,2.738739
31.0,31,2.875005
21.0,21,2.895554
16.0,16,3.014216
19.0,19,3.033168
12.0,12,3.150976
10.0,10,3.16089
15.0,15,3.280423
10.0,10,3.290373
22.0,22,3.417079
22.0,22,3.438332
27.0,27,3.56829
48.0,48,3.823194
33.0,33,3.961337
53.0,53,4.120758
83.0,83,4.514737
83.0,83,4.803354
141.0,141,5.465576
500.0,500,7.640278
500.0,500,11.498295
500.0,500,13.724638
500.0,500,17.571219
500.0,500,19.791515
500.0,500,22.043234
500.0,500,25.96215
