#{"t_start": 1611595385.5451818, "env_id": "CartPole-v1"}
r,l,t
15.0,15,2.46684
17.0,17,2.485502
33.0,33,2.734567
10.0,10,2.744277
12.0,12,2.75751
9.0,9,2.766919
9.0,9,2.879475
18.0,18,2.897086
12.0,12,3.011839
9.0,9,3.020836
8.0,8,3.028769
20.0,20,3.154531
16.0,16,3.170324
11.0,11,3.285822
16.0,16,3.301743
32.0,32,3.437842
15.0,15,3.556057
15.0,15,3.570906
53.0,53,3.830756
192.0,192,4.648924
83.0,83,4.938164
135.0,135,5.593773
96.0,96,6.003036
500.0,500,9.832751
500.0,500,12.029665
500.0,500,14.1834
500.0,500,18.11507
500.0,500,20.347143
500.0,500,24.263683
500.0,500,26.521249
