#{"t_start": 1611595417.0152202, "env_id": "CartPole-v1"}
r,l,t
41.0,41,2.109373
10.0,10,2.11973
10.0,10,2.130134
19.0,19,2.262255
15.0,15,2.277773
10.0,10,2.397945
30.0,30,2.539224
17.0,17,2.557085
16.0,16,2.685248
14.0,14,2.699488
11.0,11,2.821405
20.0,20,2.842162
30.0,30,2.999254
21.0,21,3.147744
32.0,32,3.302556
20.0,20,3.323587
45.0,45,3.624163
41.0,41,3.790764
232.0,232,4.92719
100.0,100,5.501796
62.0,62,5.934351
133.0,133,7.022639
185.0,185,8.139039
32.0,32,8.327674
299.0,299,11.303986
45.0,45,11.470922
277.0,277,12.814045
107.0,107,13.415481
45.0,45,13.623497
58.0,58,13.998613
109.0,109,14.638232
139.0,139,15.680592
146.0,146,16.564642
162.0,162,18.942087
500.0,500,21.619865
500.0,500,24.043925
500.0,500,28.830734
500.0,500,31.366879
500.0,500,37.051362
500.0,500,39.510846
500.0,500,42.227648
453.0,453,46.78466
500.0,500,49.316666
500.0,500,51.879645
500.0,500,57.064724
500.0,500,59.690417
500.0,500,64.289315
500.0,500,66.798224
500.0,500,69.216214
500.0,500,73.701323
500.0,500,76.317976
500.0,500,80.600326
500.0,500,83.050229
500.0,500,85.514915
