#{"t_start": 1611595417.0216703, "env_id": "CartPole-v1"}
r,l,t
17.0,17,1.964492
27.0,27,2.106297
21.0,21,2.24044
21.0,21,2.262304
22.0,22,2.394702
17.0,17,2.412393
18.0,18,2.541142
9.0,9,2.550781
14.0,14,2.676797
17.0,17,2.694167
10.0,10,2.81513
13.0,13,2.828673
13.0,13,2.842042
16.0,16,2.982878
26.0,26,3.137448
25.0,25,3.165617
28.0,28,3.315138
44.0,44,3.614743
53.0,53,3.793866
68.0,68,4.093124
112.0,112,4.723811
166.0,166,5.686349
128.0,128,6.644094
126.0,126,7.508999
56.0,56,7.928215
44.0,44,8.128874
28.0,28,8.312523
39.0,39,8.511899
113.0,113,10.548571
278.0,278,11.889827
82.0,82,12.206205
186.0,186,13.211501
96.0,96,13.782856
117.0,117,14.454144
126.0,126,15.210116
154.0,154,16.212197
175.0,175,18.787533
500.0,500,21.461246
500.0,500,23.887169
500.0,500,28.670137
500.0,500,31.166898
500.0,500,36.852665
500.0,500,39.474087
500.0,500,42.023157
500.0,500,46.92333
500.0,500,49.332312
500.0,500,54.023787
500.0,500,57.215474
500.0,500,59.705664
500.0,500,64.427249
500.0,500,66.929566
500.0,500,71.103726
500.0,500,73.882994
500.0,500,76.332964
500.0,500,80.736121
500.0,500,83.187572
500.0,500,87.546399
