#{"t_start": 1611595417.0171342, "env_id": "CartPole-v1"}
r,l,t
30.0,30,1.983449
13.0,13,2.109614
19.0,19,2.129325
20.0,20,2.262528
19.0,19,2.391889
13.0,13,2.405473
17.0,17,2.533184
14.0,14,2.547813
11.0,11,2.559332
11.0,11,2.682308
18.0,18,2.700692
22.0,22,2.834176
11.0,11,2.845338
26.0,26,2.998455
34.0,34,3.161794
44.0,44,3.443282
32.0,32,3.613181
53.0,53,3.794115
89.0,89,4.240912
85.0,85,4.713617
107.0,107,5.272266
74.0,74,5.696234
88.0,88,6.401073
216.0,216,7.931181
56.0,56,8.292725
42.0,42,8.497068
134.0,134,10.56382
166.0,166,11.322069
123.0,123,11.913085
284.0,284,13.407894
95.0,95,13.983517
32.0,32,14.166512
38.0,38,14.326294
155.0,155,15.441656
168.0,168,16.367923
255.0,255,19.296386
490.0,490,21.934397
374.0,374,23.742071
500.0,500,28.498884
500.0,500,30.960253
500.0,500,34.141366
500.0,500,39.329338
500.0,500,41.865127
500.0,500,46.773719
500.0,500,49.305363
500.0,500,51.866953
500.0,500,57.05368
500.0,500,59.546457
500.0,500,64.278113
500.0,500,66.787809
500.0,500,69.088239
500.0,500,73.686512
500.0,500,76.307047
500.0,500,80.589192
500.0,500,83.039095
500.0,500,85.383585
