#{"t_start": 1611595417.0180225, "env_id": "CartPole-v1"}
r,l,t
15.0,15,1.965264
15.0,15,1.982623
33.0,33,2.129536
50.0,50,2.403528
11.0,11,2.414864
12.0,12,2.53759
9.0,9,2.546986
15.0,15,2.562896
16.0,16,2.690589
12.0,12,2.703114
17.0,17,2.831213
28.0,28,2.98413
20.0,20,3.009719
76.0,76,3.449843
54.0,54,3.643778
33.0,33,3.803194
61.0,61,4.094626
56.0,56,4.394229
84.0,84,4.901372
173.0,173,5.918962
138.0,138,6.886527
106.0,106,7.724859
31.0,31,7.928622
27.0,27,8.107335
23.0,23,8.137527
47.0,47,8.493897
172.0,172,10.726733
243.0,243,11.901824
256.0,256,13.210743
66.0,66,13.594447
78.0,78,13.995943
113.0,113,14.642479
158.0,158,15.844816
173.0,173,16.778943
387.0,387,20.458698
500.0,500,22.967351
283.0,283,24.346334
500.0,500,29.006124
500.0,500,31.740816
500.0,500,37.363445
500.0,500,39.815768
500.0,500,42.62474
500.0,500,47.267012
500.0,500,49.959445
500.0,500,54.537393
500.0,500,57.577342
500.0,500,60.218877
500.0,500,64.895333
500.0,500,67.266158
500.0,500,71.552388
500.0,500,74.272591
500.0,500,76.823778
500.0,500,81.194844
500.0,500,83.526132
