#{"t_start": 1611595417.016221, "env_id": "CartPole-v1"}
r,l,t
10.0,10,1.958333
17.0,17,1.981245
37.0,37,2.132379
33.0,33,2.388578
15.0,15,2.404225
18.0,18,2.532991
19.0,19,2.552988
9.0,9,2.562473
17.0,17,2.691282
11.0,11,2.702685
18.0,18,2.831904
21.0,21,2.975047
10.0,10,2.988183
18.0,18,3.011433
14.0,14,3.150013
50.0,50,3.323688
18.0,18,3.45823
46.0,46,3.643445
27.0,27,3.796093
39.0,39,3.958096
51.0,51,4.243968
30.0,30,4.390887
172.0,172,5.288989
127.0,127,6.178465
210.0,210,7.732399
106.0,106,8.323195
76.0,76,8.891852
248.0,248,11.326177
186.0,186,12.213743
254.0,254,13.607162
102.0,102,14.17935
105.0,105,14.87171
179.0,179,16.038963
273.0,273,19.094014
352.0,352,21.133352
500.0,500,23.437293
500.0,500,28.15861
500.0,500,30.728753
500.0,500,33.775856
500.0,500,39.00143
500.0,500,41.544755
500.0,500,46.457797
500.0,500,48.982286
500.0,500,51.53584
500.0,500,56.730153
500.0,500,59.344357
500.0,500,63.963833
500.0,500,66.481531
500.0,500,68.792406
500.0,500,73.280661
500.0,500,76.005222
500.0,500,80.284668
500.0,500,82.733794
500.0,500,85.193683
