#{"t_start": 1614187358.8486652, "env_id": "dVRLReach-v0"}
r,l,t,is_success
-30.0,30,197.748519,0.0
-6.0,30,198.841105,1.0
-9.0,30,199.892839,1.0
-30.0,30,200.974277,0.0
-30.0,30,202.024219,0.0
-24.0,30,203.07386,1.0
-30.0,30,204.130074,0.0
-30.0,30,205.176132,0.0
-12.0,30,206.21718,1.0
-30.0,30,207.262152,0.0
-10.0,30,208.329301,1.0
-9.0,30,209.400367,1.0
-30.0,30,210.474372,0.0
-30.0,30,211.537389,0.0
-30.0,30,212.59348,0.0
-10.0,30,213.649693,1.0
-30.0,30,214.697932,0.0
-18.0,30,215.75734,1.0
-30.0,30,216.819214,0.0
-30.0,30,217.87623,0.0
-30.0,30,218.934174,0.0
-7.0,30,220.00065,1.0
-30.0,30,221.045463,0.0
-9.0,30,222.09212,1.0
-4.0,30,223.150354,1.0
-30.0,30,224.198795,0.0
-30.0,30,225.238729,0.0
-30.0,30,226.293142,0.0
-30.0,30,227.357121,0.0
-5.0,30,228.412344,1.0
-30.0,30,229.451001,0.0
-30.0,30,230.534393,0.0
-11.0,30,231.597141,1.0
-30.0,30,232.650241,0.0
-30.0,30,233.692639,0.0
-10.0,30,234.759577,1.0
-10.0,30,235.835818,1.0
-30.0,30,236.887297,0.0
-13.0,30,237.987535,1.0
-2.0,30,239.045488,1.0
-5.0,30,240.105474,1.0
-30.0,30,241.161923,0.0
-30.0,30,242.20767,0.0
-30.0,30,243.267518,0.0
-30.0,30,244.325979,0.0
-10.0,30,245.380018,1.0
-30.0,30,246.43315,0.0
-9.0,30,247.491249,1.0
-30.0,30,248.539542,0.0
-30.0,30,249.585679,0.0
-30.0,30,250.635126,0.0
-7.0,30,251.700305,1.0
-30.0,30,252.754607,0.0
-11.0,30,253.865261,1.0
-30.0,30,254.945644,0.0
-7.0,30,255.995414,1.0
-4.0,30,257.043922,1.0
-6.0,30,258.09535,1.0
-30.0,30,259.142719,0.0
-30.0,30,260.219034,0.0
-30.0,30,261.295578,0.0
-8.0,30,262.346118,1.0
-10.0,30,263.406248,1.0
-30.0,30,264.485808,0.0
-30.0,30,265.542088,0.0
-30.0,30,266.599304,0.0
-30.0,30,267.643374,0.0
-3.0,30,268.716959,1.0
-11.0,30,269.761008,1.0
-30.0,30,270.81274,0.0
-30.0,30,271.875255,0.0
-30.0,30,272.937708,0.0
-11.0,30,273.984992,1.0
-30.0,30,275.037511,0.0
-30.0,30,276.093685,0.0
-7.0,30,277.174753,1.0
-30.0,30,278.24586,0.0
-30.0,30,279.283095,0.0
-30.0,30,280.33595,0.0
-6.0,30,281.390491,1.0
-9.0,30,282.479653,1.0
-30.0,30,283.539779,0.0
-4.0,30,284.614726,1.0
-30.0,30,285.683127,0.0
-9.0,30,286.734176,1.0
-9.0,30,287.797443,1.0
-30.0,30,288.857013,0.0
-30.0,30,289.908611,0.0
-12.0,30,290.960028,1.0
-30.0,30,292.012035,0.0
-13.0,30,293.092683,1.0
-9.0,30,294.170507,1.0
-30.0,30,295.251097,0.0
-14.0,30,296.311083,1.0
-9.0,30,297.369449,1.0
-5.0,30,298.446455,1.0
-23.0,30,299.51653,0.0
-30.0,30,300.574005,0.0
-6.0,30,301.65813,1.0
-30.0,30,302.719006,0.0
-11.0,30,303.78523,1.0
-4.0,30,304.846112,1.0
-17.0,30,305.918413,1.0
-30.0,30,306.975313,0.0
-30.0,30,308.030332,0.0
-30.0,30,309.083061,0.0
-30.0,30,310.132747,0.0
-10.0,30,311.189593,1.0
-30.0,30,312.28609,0.0
-30.0,30,313.424348,0.0
-12.0,30,314.486332,1.0
-30.0,30,315.658538,0.0
-4.0,30,316.728215,1.0
-8.0,30,317.767862,1.0
-30.0,30,318.826302,0.0
-5.0,30,319.869769,1.0
